delta,R,Z,p
8.0,0.07050309373633168,0.004970686226393971,0.9950416471907425
8.242287696503947,0.07858641640280835,0.006175824843035583,0.9938432063652527
8.491913308992542,0.08138758939658347,0.006623939707786864,0.9933979502216476
8.749099073310921,0.07868192582763973,0.006190845451946199,0.9938282783472457
9.014073955930584,0.07623296424820937,0.005811464838068767,0.9942053890592975
9.287073857792915,0.07528389250407583,0.005667664470565244,0.9943483664394717
9.568341824326248,0.07366555796322402,0.005426614430033117,0.9945880830441929
9.858128261823547,0.07116267142943233,0.005064125804973344,0.9949486752622566
10.156691160373256,0.0789102117330361,0.006226821515752586,0.9937925249608281
10.464296323541861,0.08404809860102892,0.007064082878448278,0.9929608091075036
10.781217605012571,0.08005254384607018,0.006408409776226987,0.993612080288761
11.10773715239086,0.08140787025197091,0.006627241338961728,0.9933946703934204
11.444145658393872,0.085306149809261,0.00727713919528008,0.9927492750698884
11.79074261964736,0.07860733645009169,0.0061791133437779115,0.9938399381165046
12.14783660332052,0.06478409353417824,0.0041969787750451544,0.9958118162319193
12.515745521836129,0.059115653947874186,0.003494660541684812,0.9965114386774971
12.894796915900539,0.07328143991121323,0.005370169435460755,0.9946442241475693
13.285328246105507,0.0813426161088023,0.00661662119542398,0.993405220443431
13.687687193361473,0.08395317020286491,0.007048134787111204,0.9929766450634576
14.10223196842974,0.07767253984967305,0.006033023446699047,0.9939851386966876
14.529331630829137,0.07929227485175759,0.006287264851166667,0.9937324586412326
14.969366417401078,0.08460520052124677,0.0071580399552403735,0.9928675177952688
15.422728080825536,0.09037146401682837,0.008167001508544902,0.991866257843627
15.889820238389282,0.0909797966464052,0.00827732339782124,0.9917568393198924
16.371058731316918,0.08145574110681623,0.006635037759260671,0.9933869255012386
16.86687199498462,0.06497963783058643,0.004222353332594178,0.9957865482682633
17.37770144034609,0.05439206828639406,0.002958497092471754,0.9970458749474328
17.90400184691044,0.05630403638001268,0.003170144512681791,0.9968348750897446
18.446241767621732,0.07046612554252459,0.004965474848974835,0.9950468327418257
19.00490394600073,0.08860701085778436,0.007851202373151513,0.9921795378144483
19.580485745920143,0.10169245045094387,0.010341354478717672,0.9897119334794304
20.173499594396063,0.10886934499536999,0.011852534279720888,0.9882174303126555
20.784473437789757,0.10725382089372076,0.01150338209630233,0.9885625288285858
21.413951211825953,0.09936279042593181,0.009872964121227644,0.9901756135889339
22.062493325846095,0.0866175530569426,0.007502600497572265,0.9925254737556974
22.730677161727716,0.07667978241208145,0.005879789030764155,0.9941374630992361
23.419097587913953,0.06853597699387537,0.0046971801425050135,0.9953138343556981
24.128367489011055,0.06304615783703196,0.003974818018011946,0.9960330711150421
24.85911831142521,0.0575439531790227,0.0033113065474695558,0.9966941697817868
25.612000625524498,0.049755822827323846,0.0024756419052240405,0.9975274199689749
26.387684704826498,0.03773218064641358,0.0014237174563335874,0.9985772955485629
27.186861122727105,0.02152112731970394,0.00046315892111090725,0.999536948320425
