delta,Z,p
544.046222264921,89013.02132420166,0.0
560.4549223505442,89374.86429020659,0.0
577.3585168541068,91983.37030132864,0.0
594.7719320332417,97231.03186543424,0.0
612.7105443288115,104832.70719363194,0.0
631.1901939426539,114610.42830255425,0.0
650.2271988248385,126562.47751312578,0.0
669.8383690827874,140316.46227571098,0.0
690.041021824984,155379.1953819289,0.0
710.8529964523707,171678.7263372007,0.0
732.2926704109442,188120.7790835846,0.0
754.3789754194584,204757.0288302086,0.0
777.1314141865629,220388.75530679338,0.0
800.5700776321371,235521.750949188,0.0
824.7156626280259,248977.35028943687,0.0
849.5894902738481,260011.2227864519,0.0
875.2135247240179,269303.568470851,0.0
901.6103925825811,275739.27963892533,0.0
928.8034028830268,279014.0945432463,0.0
956.8165676706899,279571.293197403,0.0
985.6746232059394,276775.3296113019,0.0
1015.4030518068465,271021.62681671407,0.0
1046.0281043506575,261848.8910109221,0.0
1077.57682345391,249979.37990899096,0.0
1110.0770673516863,235690.28470918667,0.0
1143.557534497054,219290.09275697352,0.0
1178.0477889024594,201121.55124920717,0.0
1213.5782862454184,181702.2666926054,0.0
1250.18040076158,161266.53280119324,0.0
1287.8864529488735,140837.84355204835,0.0
1326.7297381072524,120287.53862781462,0.0
1366.7445557391945,100401.71424874596,0.0
1407.9662398369517,81396.2639826093,0.0
1450.4311900832515,63920.85993213937,0.0
1494.1769039930532,48152.03478408893,0.0
1539.2420100246995,34292.84988524357,0.0
1585.6663016897346,22560.485090788796,0.0
1633.4907726914585,13207.970638380675,0.0
1682.7576531233078,6306.580622201635,0.0
1733.5104467589965,1960.7221227994585,0.0
1785.7939694673155,104.75271650600526,3.200819646774857e-46
1839.654388785575,717.5326386399988,2.09838472919e-312
1895.1392646865822,3766.3646656045594,0.0
1952.2975915751904,9089.272469471998,0.0
2011.1798415514481,16638.91601223722,0.0
2071.8380089786256,26162.26389467866,0.0
2134.325656395408,37724.49035677108,0.0
2198.69796181285,51064.70936821966,0.0
2265.0117674377884,65998.424869035,0.0
2333.325629865816,82292.88278348027,0.0
2403.6998717880765,99632.27110504682,0.0
2476.1966352575887,118114.25153026955,0.0
2550.879936562061,137389.82843772785,0.0
2627.8157227517477,157529.91571309065,0.0
2707.0719298721765,178109.054668358,0.0
2788.7185429532465,198848.13082536735,0.0
2872.8276578075606,220102.29452611017,0.0
2959.473544692689,241343.2832438214,0.0
3048.732713893479,262861.22396735335,0.0
